,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
112,flir-thermal-dataset,,datasets,Synced annotated thermal imagery and non-annotated RGB imagery for reference for ADAS research. Contains over 14k..,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
113,nuscenes,,datasets,"Autonomous vehicle dataset that includes approximately 1.4M camera images, 390k LIDAR sweeps, 1.4M RADAR sweeps and..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
114,uzh-fpv-drone-racing,,datasets,"Quadrotor racing dataset that contains information from event camera, RGB camera and groundtruth from Leica Nova MS60..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
115,partnet,,datasets,"A consistent, large-scale dataset of 3D objects annotated with fine-grained, instance-level, and hierarchical 3D part..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
116,utbm-robocar-dataset,,datasets,"A dataset containing a robotic car sensor data with 2 stereo cameras, 3 lidars, radar, GNSS receiver with RTK base..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
117,libre-dataset,,datasets,LiDAR Benchmark Reference dataset comparing 12 LiDAR models across various scenarios and conditions for self-driving..,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
118,ustc-flicar-dataset,,datasets,A heavy-duty VTOL dataset captured by a robotic bucket truck.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
119,open-x-embodiment,,datasets,A large open-source real robot dataset with 1M+ real robot trajectories spanning 22 robot embodiments.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
120,l2d-dataset,,datasets,A huge dataset captured by driving schools in Germany for autonomous driving research.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
121,visual-servoing-platform,,libraries-frameworks,A cross-platform library that allows prototyping and developing applications using visual tracking and visual servoing..,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
122,point-cloud-library,,libraries-frameworks,"Standalone, large scale, open project for 2D/3D image and point cloud processing.",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
123,opencv,,libraries-frameworks,Open Source computer vision library.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
124,raisim,,libraries-frameworks,A physics for rigid-body dynamics simulation.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
125,evo,,libraries-frameworks,A Python package for the evaluation of odometry and SLAM.,,,,,,,,,,,,,,,,,,,,,,,0,False,,['python'],,
126,mrpt,,libraries-frameworks,Mobile Robot Programming Toolkit provides developers with portable and well-tested applications and libraries covering..,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
127,moos,,libraries-frameworks,A C++ cross platform middleware for robotics research.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
128,gmapping,,libraries-frameworks,GMapping is a highly efficient Rao-Blackwellized particle filter to learn grid maps from laser range data.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
129,tinyslam,,libraries-frameworks,"ROS implementation of tinySLAM, one of the simplest and lightweight SLAM methods.",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
130,rtab-map,,libraries-frameworks,"RTAB-Map (Real-Time Appearance-Based Mapping) is a RGB-D, Stereo and Lidar Graph-Based SLAM approach.",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
131,basalt,,libraries-frameworks,Library for visual-inertial odometry and mapping.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
132,v-rep,,simulators,A robot simulator with integrated development environment based on a distributed control architecture.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
133,argos,,simulators,ARGoS is a multi-physics robot simulator that can simulate large-scale swarms of robots efficiently.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
134,gazebo,,simulators,Open Source simulator that plays nicely with ROS developed by OSRF. Supports 4 physics engines.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
135,carla,,simulators,Open-source simulator for autonomous driving research.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
136,openrave,,simulators,"OpenRAVE provides an environment for testing, developing, and deploying motion planning algorithms in real-world..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
137,moos-ivp,,middleware,"MOOS-IvP is a set of open source C++ modules for providing autonomy on robotic platforms, particularly autonomous..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
138,viam,,middleware,"Viam is an open source software platform thats modular, pluggable, and designed to work with any hardware with..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
139,towr,,ros,"A light-weight, Eigen-based C++ library for trajectory optimization for legged robots.",,,,,,,,,,,,,,,,,,,,,,,0,False,,"['ros', 'cpp']",,
140,rosflight,,ros,"ROSflight is an autopilot system designed from the ground up with researchers in mind, and for easy integration with..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
141,autoware,,ros,The Autoware Foundation is a non-profit organization supporting open-source projects enabling self-driving mobility.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
142,ros-industrial,,ros,ROS-Industrial is an open-source project that extends the advanced capabilities of ROS software to industrial relevant..,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
143,vesc,,motor-control,An open source ESC project commonly used in electronics skateboard community and robotics projects like MIT RACECAR..,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
144,odrive,,motor-control,A hobby motor for robotics. Can control two motors at the same time.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
145,simplefoc,,motor-control,Arduino Compatible Open Source Field Oriented Control (FOC) project.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
146,slam-for-dummies,,education,Introductory document to SLAM and Extended Kalman Filter with example C++ implementation source code.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
147,practical-deep-learning,,education,Free course on neural networks from fast.ai with 14 lessons.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
148,calibration-desk-reference,,education,An 80 page long document on sensor calibration from Tangram Vision.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
149,elements-of-robotics,,education,"Open access book on robotics, directed towards beginners with many algorithmic activities and exercises.",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
150,foundations-of-robotics,,education,"An Open-access book on robotics, rather for beginners.",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
151,flying-planes-with-javascript,,education,Tutorials on integrating with Microsoft Flight Simulator 2020 API that ends with developing some autopilot-like..,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
152,ai-gaming-rules,,other,Examples of AI Gaming the Rules - spreadsheet containing lots of information about algorithms pausing simulation to..,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
153,osrtos,,other,A list of open source Real Time Operating Systems (RTOS).,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
154,haptipedia,,other,"An online, open-source, visualization of a growing database of 105+ haptic devices invented since 1992.",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
155,board-db,,other,A searchable database of single board computers.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
156,fast-introduction-to-robotics,,other,A hand-picked selection of Robotics resources covering robotics from various angles.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
157,ai-incident-database,,other,A well documented database of AI incidents.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
158,control-challenges,,other,A set of control challenges that you can solve in the browser using Javascript.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
159,robotics-conferences,,other,Lists of robotics-related conferences and summer/winter schools.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
160,arduino-library,,other,A library of thousands of Arduino libraries that contains powerful search capabilities.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
161,makani-documentary,,other,"Pulling Power from the Sky: The Story of Makani - A documentary on Makani, a company that was producing energy from..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
162,robot-revolution-documentary,,other,How to Start a Robot Revolution - a Red Hat documentary on ROS.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
