,name,github_id,category,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending
152,arduino-library,,other,A library of thousands of Arduino libraries that contains powerful search capabilities.,,,,,,,,,,,,,,0,False,,,
153,makani-documentary,,other,"Pulling Power from the Sky: The Story of Makani - A documentary on Makani, a company that was producing energy from..",,,,,,,,,,,,,,0,False,,,
154,robot-revolution-documentary,,other,How to Start a Robot Revolution - a Red Hat documentary on ROS.,,,,,,,,,,,,,,0,False,,,
155,ahundt-awesome-robotics,ahundt/awesome-robotics,other,Awesome robotics list by ahundt.,,{},,,,,,,,,,,5.0,0,False,,,
156,awesome-cloud-robotics,Airbotics/awesome-cloud-robotics,other,Awesome cloud robotics list.,,{},,,,,,,,,,,,0,False,,,
157,awesome-robotics-projects,mjyc/awesome-robotics-projects,other,Awesome robotics projects list.,,{},,,,,,,,,,,8.0,0,False,,,
158,best-of-robot-simulators,knmcguire/best-of-robot-simulators,other,Best of robot simulators list.,,{},,,,,,,,,,,17.0,0,False,,,
159,faze4,PCrnjak/Faze4-Robotic-arm,open-source-robots,Small fully 3D printable open source 6 axis robotic arm for research and education.,,{},,,,,,,,,,,2.0,-1,False,3.0,['mit'],
160,pedro,almtzr/Pedro,open-source-robots,"A small, 3D-printed robotic manipulator with 3 Degrees of Freedom.",,{},,,,,,,,,,,2.0,-1,False,3.0,['apache'],
161,transact,transitiverobotics/transact,ros,An open-source robot fleet management dashboard.,,{},,,,,,,,,,,2.0,-1,False,3.0,"['ros', 'apache']",
162,robotics-501,michiganrobotics/rob501,education,"ROB 501: Mathematics for Robotics, a graduate-level course at the University of Michigan that introduces applied..",,{},,,,,,,,,,,2.0,-1,False,3.0,,
